agent,agent_name,average_action_count,average_agent_cost,average_benchmark_cost,average_invalid_action_count,average_invalid_action_percent,average_score,average_steps,benchmark,benchmark_name,benchmark_score,completed_sessions,incomplete_sessions,missing_sessions,model,model_name,percent_error,percent_finished,percent_finished_successful,percent_finished_unsuccessful,percent_successful,percent_unfinished,planned_sessions,subset_name,successful_sessions,total_agent_cost,total_benchmark_cost,total_run_cost,total_sessions
tool_calling_with_shortlisting,LiteLLM Tool Calling with Shortlisting,15.29,0.29797836,0.0695312405,0.17,1.111837802,0.73,14.84,tau2_telecom,Tau Bench 2,0.73,100,0,0,openai_gcp_gemini-3-pro-preview,openai/gcp/gemini-3-pro-preview,0,1,0.73,0.27,0.73,0,100,telecom,73,29.797836,6.95312405,36.75096005,100
claude_code,Claude Code CLI,18.94,0.5026066430000001,0.0,7.87,41.552270327349525,0.4467599999999998,18.94,appworld_test_normal,AppWorld,0.03,100,0,0,openai_Azure_DeepSeek-V3.2,openai/azure/DeepSeek-V3.2,0.0,0.46,0.03,0.43,0.03,0.54,100,test_normal,3,50.26066430000001,0.0,50.26066430000001,100
openai_solo,OpenAI Solo,16.25,0.3050881588000001,0.0,6.61,40.676923076923075,0.29723999999999995,16.25,appworld_test_normal,AppWorld,0.125,48,52,0,openai_Azure_DeepSeek-V3.2,openai/azure/DeepSeek-V3.2,0.52,0.37,0.05,0.32,0.06,0.11,100,test_normal,6,30.50881588000001,0.0,30.50881588000001,100
smolagents_code,SmolAgents Code,54.69,0.2420605992000001,0.0,25.24,46.15103309562991,0.6127400000000001,54.69,appworld_test_normal,AppWorld,0.13,100,0,0,openai_Azure_DeepSeek-V3.2,openai/azure/DeepSeek-V3.2,0.0,0.81,0.13,0.68,0.13,0.19,100,test_normal,13,24.20605992000001,0.0,24.20605992000001,100
tool_calling,LiteLLM Tool Calling,31.7,0.8332616264000001,0.0,1.27,4.006309148264984,0.5493999999999999,31.69,appworld_test_normal,AppWorld,0.091,99,1,0,openai_Azure_DeepSeek-V3.2,openai/azure/DeepSeek-V3.2,0.01,0.88,0.09,0.79,0.09,0.11,100,test_normal,9,83.32616264,0.0,83.32616264,100
tool_calling_with_shortlisting,LiteLLM Tool Calling,28.62,0.23222570840000004,0.0,1.61,5.625436757512229,0.45891,28.51,appworld_test_normal,AppWorld,0.04,100,0,0,openai_Azure_DeepSeek-V3.2,openai/azure/DeepSeek-V3.2,0.0,0.52,0.04,0.48,0.04,0.48,100,test_normal,4,23.222570840000003,0.0,23.222570840000003,100
claude_code,Claude Code CLI,20.82,0.10630119119999998,0.0016957599999999995,0.0,0.0,0.48,20.82,browsecompplus,BrowseCompPlus,0.48,100,0,0,openai_Azure_DeepSeek-V3.2,openai/azure/DeepSeek-V3.2,0.0,0.98,0.48,0.5,0.48,0.02,100,,48,10.630119119999998,0.16957599999999995,10.799695119999997,100
openai_solo,OpenAI Solo,16.76,0.09532471040000004,0.00103588,0.0,0.0,0.3,16.76,browsecompplus,BrowseCompPlus,0.4838709677419355,62,38,0,openai_Azure_DeepSeek-V3.2,openai/azure/DeepSeek-V3.2,0.38,0.62,0.3,0.32,0.3,0.0,100,,30,9.532471040000004,0.103588,9.636059040000005,100
smolagents_code,SmolAgents Code,12.01,0.07768438359999996,0.00146832,0.0,0.0,0.21,12.01,browsecompplus,BrowseCompPlus,0.21,100,0,0,openai_Azure_DeepSeek-V3.2,openai/azure/DeepSeek-V3.2,0.0,1.0,0.21,0.79,0.21,0.0,100,,21,7.768438359999997,0.146832,7.9152703599999965,100
tool_calling,LiteLLM Tool Calling,34.19,0.1679167768,0.00164996,0.03,0.08774495466510676,0.36,34.19,browsecompplus,BrowseCompPlus,0.36363636363636365,99,1,0,openai_Azure_DeepSeek-V3.2,openai/azure/DeepSeek-V3.2,0.01,0.98,0.36,0.62,0.36,0.01,100,,36,16.79167768,0.164996,16.956673679999998,100
claude_code,Claude Code CLI,54.16,0.20144125259999995,0.0,0.0,0.0,0.64,54.16,swebench,SWE-bench,0.64,100,0,0,openai_Azure_DeepSeek-V3.2,openai/azure/DeepSeek-V3.2,0.0,0.89,0.89,0.0,0.89,0.11,100,,89,20.144125259999996,0.0,20.144125259999996,100
openai_solo,OpenAI Solo,40.47,0.11237704080000001,0.0,0.0,0.0,0.28,40.47,swebench,SWE-bench,0.7368421052631579,38,62,0,openai_Azure_DeepSeek-V3.2,openai/azure/DeepSeek-V3.2,0.62,0.38,0.38,0.0,0.38,0.0,100,,38,11.23770408,0.0,11.23770408,100
smolagents_code,SmolAgents Code,69.43,0.5519223772,0.0,0.0,0.0,0.56,69.43,swebench,SWE-bench,0.56,100,0,0,openai_Azure_DeepSeek-V3.2,openai/azure/DeepSeek-V3.2,0.0,0.98,0.97,0.01,0.97,0.02,100,,97,55.19223772000001,0.0,55.19223772000001,100
tool_calling,LiteLLM Tool Calling,77.43,0.47889091680000007,0.0,0.01,0.012914890869172154,0.66,77.43,swebench,SWE-bench,0.6875,96,4,0,openai_Azure_DeepSeek-V3.2,openai/azure/DeepSeek-V3.2,0.04,0.94,0.93,0.01,0.93,0.02,100,,93,47.88909168000001,0.0,47.88909168000001,100
claude_code,Claude Code CLI,12.06,0.028655971600000007,0.01180776,0.0,0.0,0.28,12.06,tau2_airline,Tau Bench 2,0.4117647058823529,50,0,0,openai_Azure_DeepSeek-V3.2,openai/azure/DeepSeek-V3.2,0.0,0.98,0.28,0.7,0.28,0.02,50,airline,14,1.4327985800000003,0.590388,2.0231865800000004,50
openai_solo,OpenAI Solo,6.72,0.016994613600000003,0.005966679999999998,0.0,0.0,0.2,6.72,tau2_airline,Tau Bench 2,0.5555555555555556,50,0,0,openai_Azure_DeepSeek-V3.2,openai/azure/DeepSeek-V3.2,0.0,0.94,0.2,0.74,0.2,0.06,50,airline,10,0.8497306800000002,0.2983339999999999,1.14806468,50
smolagents_code,SmolAgents Code,18.94,0.055420856,0.011781599999999996,0.0,0.0,0.6,18.94,tau2_airline,Tau Bench 2,0.6122448979591837,50,0,0,openai_Azure_DeepSeek-V3.2,openai/azure/DeepSeek-V3.2,0.0,1.0,0.6,0.4,0.6,0.0,50,airline,30,2.7710428,0.5890799999999998,3.3601228,50
tool_calling,LiteLLM Tool Calling,15.32,0.033952516,0.01718788,0.0,0.0,0.56,15.28,tau2_airline,Tau Bench 2,0.56,50,0,0,openai_Azure_DeepSeek-V3.2,openai/azure/DeepSeek-V3.2,0.0,1.0,0.56,0.44,0.56,0.0,50,airline,28,1.6976258,0.8593939999999999,2.5570198,50
claude_code,Claude Code CLI,12.51,0.043596285400000004,0.012947780000000002,0.0,0.0,0.65,12.51,tau2_retail,Tau Bench 2,0.7303370786516854,100,0,0,openai_Azure_DeepSeek-V3.2,openai/azure/DeepSeek-V3.2,0.0,0.99,0.65,0.34,0.65,0.01,100,retail,65,4.35962854,1.2947780000000002,5.65440654,100
openai_solo,OpenAI Solo,4.82,0.011356187600000003,0.00568166,0.0,0.0,0.19,4.82,tau2_retail,Tau Bench 2,0.7037037037037037,100,0,0,openai_Azure_DeepSeek-V3.2,openai/azure/DeepSeek-V3.2,0.0,0.97,0.19,0.78,0.19,0.03,100,retail,19,1.1356187600000003,0.568166,1.7037847600000002,100
smolagents_code,SmolAgents Code,14.06,0.05129110320000001,0.010718559999999997,0.0,0.0,0.77,14.06,tau2_retail,Tau Bench 2,0.8020833333333334,98,2,0,openai_Azure_DeepSeek-V3.2,openai/azure/DeepSeek-V3.2,0.02,0.98,0.77,0.21,0.77,0.0,100,retail,77,5.1291103200000006,1.0718559999999997,6.20096632,100
tool_calling,LiteLLM Tool Calling,14.44,0.029598555599999986,0.018759459999999995,0.0,0.0,0.82,14.44,tau2_retail,Tau Bench 2,0.82,100,0,0,openai_Azure_DeepSeek-V3.2,openai/azure/DeepSeek-V3.2,0.0,1.0,0.82,0.18,0.82,0.0,100,retail,82,2.9598555599999985,1.8759459999999997,4.835801559999998,100
claude_code,Claude Code CLI,20.03,0.07225669540000003,0.09863551999999999,0.0,0.0,0.61,20.03,tau2_telecom,Tau Bench 2,0.6777777777777778,100,0,0,openai_Azure_DeepSeek-V3.2,openai/azure/DeepSeek-V3.2,0.0,0.97,0.61,0.36,0.61,0.03,100,telecom,61,7.225669540000003,9.863551999999999,17.08922154,100
openai_solo,OpenAI Solo,7.0,0.023369379999999995,0.032553759999999994,0.0,0.0,0.18,7.0,tau2_telecom,Tau Bench 2,0.72,100,0,0,openai_Azure_DeepSeek-V3.2,openai/azure/DeepSeek-V3.2,0.0,0.97,0.18,0.79,0.18,0.03,100,telecom,18,2.3369379999999995,3.2553759999999996,5.592313999999999,100
smolagents_code,SmolAgents Code,18.3,0.06806756960000002,0.07849034,0.0,0.0,0.84,18.3,tau2_telecom,Tau Bench 2,0.84,100,0,0,openai_Azure_DeepSeek-V3.2,openai/azure/DeepSeek-V3.2,0.0,1.0,0.84,0.16,0.84,0.0,100,telecom,84,6.806756960000001,7.8490340000000005,14.655790960000001,100
tool_calling,LiteLLM Tool Calling,18.13,0.04940463720000001,0.12771280000000004,0.0,0.0,0.71,18.11,tau2_telecom,Tau Bench 2,0.71,100,0,0,openai_Azure_DeepSeek-V3.2,openai/azure/DeepSeek-V3.2,0.0,1.0,0.71,0.29,0.71,0.0,100,telecom,71,4.940463720000001,12.771280000000004,17.711743720000005,100
claude_code,Claude Code CLI,36.62,0.8930315160000002,0.0,13.48,36.81048607318405,0.55621,36.62,appworld_test_normal,AppWorld,0.08,100,0,0,openai_Azure_Kimi-K2.5,openai/azure/Kimi-K2.5,0.0,0.78,0.08,0.7,0.08,0.22,100,test_normal,8,89.30315160000002,0.0,89.30315160000002,100
openai_solo,OpenAI Solo,19.53,0.3024222959999999,0.0,7.55,38.65847414234511,0.34422,19.53,appworld_test_normal,AppWorld,0.154,52,48,0,openai_Azure_Kimi-K2.5,openai/azure/Kimi-K2.5,0.48,0.48,0.08,0.4,0.08,0.04,100,test_normal,8,30.242229599999995,0.0,30.242229599999995,100
smolagents_code,SmolAgents Code,50.63,0.6740286120000001,0.0,9.18,18.131542563697412,0.6183900000000001,50.63,appworld_test_normal,AppWorld,0.11,100,0,0,openai_Azure_Kimi-K2.5,openai/azure/Kimi-K2.5,0.0,0.91,0.11,0.8,0.11,0.09,100,test_normal,11,67.4028612,0.0,67.4028612,100
tool_calling,LiteLLM Tool Calling,43.03,0.8925547499999997,0.0,1.28,2.974668835696026,0.6054499999999998,25.05,appworld_test_normal,AppWorld,0.091,99,1,0,openai_Azure_Kimi-K2.5,openai/azure/Kimi-K2.5,0.01,0.9,0.09,0.81,0.09,0.09,100,test_normal,9,89.25547499999998,0.0,89.25547499999998,100
tool_calling_with_shortlisting,LiteLLM Tool Calling,41.14,0.6031619339999997,0.0,1.01,2.455031599416626,0.6083999999999998,23.53,appworld_test_normal,AppWorld,0.10400000000000001,96,4,0,openai_Azure_Kimi-K2.5,openai/azure/Kimi-K2.5,0.04,0.89,0.1,0.79,0.1,0.07,100,test_normal,10,60.316193399999975,0.0,60.316193399999975,100
claude_code,Claude Code CLI,25.02,0.7320507719999999,0.0015312000000000004,0.0,0.0,0.56,25.02,browsecompplus,BrowseCompPlus,0.56,100,0,0,openai_Azure_Kimi-K2.5,openai/azure/Kimi-K2.5,0.0,0.86,0.56,0.3,0.56,0.14,100,,56,73.20507719999999,0.15312000000000003,73.35819719999999,100
openai_solo,OpenAI Solo,13.51,0.23206582199999995,0.0009339999999999997,0.0,0.0,0.34,13.51,browsecompplus,BrowseCompPlus,0.576271186440678,59,41,0,openai_Azure_Kimi-K2.5,openai/azure/Kimi-K2.5,0.41,0.51,0.34,0.17,0.34,0.08,100,,34,23.206582199999996,0.09339999999999997,23.299982199999995,100
smolagents_code,SmolAgents Code,29.79,0.4948784999999996,0.0015002199999999998,0.0,0.0,0.33,29.79,browsecompplus,BrowseCompPlus,0.33,100,0,0,openai_Azure_Kimi-K2.5,openai/azure/Kimi-K2.5,0.0,0.95,0.33,0.62,0.33,0.05,100,,33,49.48784999999996,0.150022,49.63787199999996,100
tool_calling,LiteLLM Tool Calling,27.26,0.3791127780000001,0.0012921600000000003,0.52,1.9075568598679384,0.34,26.27,browsecompplus,BrowseCompPlus,0.3469387755102041,98,2,0,openai_Azure_Kimi-K2.5,openai/azure/Kimi-K2.5,0.02,0.74,0.34,0.4,0.34,0.24,100,,34,37.91127780000001,0.12921600000000003,38.04049380000001,100
claude_code,Claude Code CLI,37.9,0.7744402859999999,0.0,0.0,0.0,0.51,37.9,swebench,SWE-bench,0.5204081632653061,98,2,0,openai_Azure_Kimi-K2.5,openai/azure/Kimi-K2.5,0.02,0.74,0.74,0.0,0.74,0.24,100,,74,77.4440286,0.0,77.4440286,100
openai_solo,OpenAI Solo,36.39,0.3341831760000001,0.0,0.0,0.0,0.55,36.39,swebench,SWE-bench,0.5670103092783505,97,3,0,openai_Azure_Kimi-K2.5,openai/azure/Kimi-K2.5,0.03,0.78,0.78,0.0,0.78,0.19,100,,78,33.41831760000001,0.0,33.41831760000001,100
smolagents_code,SmolAgents Code,63.0,1.2779861939999995,0.0,0.0,0.0,0.53,63.0,swebench,SWE-bench,0.5760869565217391,92,8,0,openai_Azure_Kimi-K2.5,openai/azure/Kimi-K2.5,0.08,0.81,0.81,0.0,0.81,0.11,100,,81,127.79861939999994,0.0,127.79861939999994,100
tool_calling,LiteLLM Tool Calling,48.03,0.578300034,0.0,0.04,0.08328128253175099,0.56,48.03,swebench,SWE-bench,0.5714285714285714,98,2,0,openai_Azure_Kimi-K2.5,openai/azure/Kimi-K2.5,0.02,0.86,0.86,0.0,0.86,0.12,100,,86,57.830003399999995,0.0,57.830003399999995,100
claude_code,Claude Code CLI,2.58,0.032654508000000006,0.0027387599999999994,0.0,0.0,0.12,2.58,tau2_airline,Tau Bench 2,0.75,50,0,0,openai_Azure_Kimi-K2.5,openai/azure/Kimi-K2.5,0.0,0.9,0.12,0.78,0.12,0.1,50,airline,6,1.6327254000000002,0.13693799999999998,1.7696634000000002,50
openai_solo,OpenAI Solo,0.5,0.004579271999999998,0.00144684,0.0,0.0,0.0,0.5,tau2_airline,Tau Bench 2,0.0,50,0,0,openai_Azure_Kimi-K2.5,openai/azure/Kimi-K2.5,0.0,0.88,0.0,0.88,0.0,0.12,50,airline,0,0.2289635999999999,0.072342,0.3013055999999999,50
smolagents_code,SmolAgents Code,13.0,0.09928738799999998,0.01220444,0.0,0.0,0.56,13.0,tau2_airline,Tau Bench 2,0.5714285714285714,50,0,0,openai_Azure_Kimi-K2.5,openai/azure/Kimi-K2.5,0.0,1.0,0.56,0.44,0.56,0.0,50,airline,28,4.964369399999999,0.610222,5.574591399999999,50
tool_calling,LiteLLM Tool Calling,10.76,0.03922161599999999,0.012552679999999998,0.0,0.0,0.62,9.6,tau2_airline,Tau Bench 2,0.62,50,0,0,openai_Azure_Kimi-K2.5,openai/azure/Kimi-K2.5,0.0,1.0,0.62,0.38,0.62,0.0,50,airline,31,1.9610807999999995,0.6276339999999999,2.5887147999999995,50
claude_code,Claude Code CLI,0.56,0.018570114000000006,0.0015760799999999997,0.0,0.0,0.03,0.56,tau2_retail,Tau Bench 2,1.0,100,0,0,openai_Azure_Kimi-K2.5,openai/azure/Kimi-K2.5,0.0,1.0,0.03,0.97,0.03,0.0,100,retail,3,1.8570114000000004,0.15760799999999997,2.0146194000000004,100
openai_solo,OpenAI Solo,0.41,0.0042811740000000004,0.0015572599999999991,0.0,0.0,0.01,0.41,tau2_retail,Tau Bench 2,0.5,100,0,0,openai_Azure_Kimi-K2.5,openai/azure/Kimi-K2.5,0.0,0.96,0.01,0.95,0.01,0.04,100,retail,1,0.42811740000000004,0.15572599999999992,0.5838433999999999,100
smolagents_code,SmolAgents Code,12.887755102040817,0.06753205714285712,0.011654877551020409,0.01020408163265306,0.0791765637371338,0.7244897959183674,12.887755102040817,tau2_retail,Tau Bench 2,0.7244897959183674,98,2,0,openai_Azure_Kimi-K2.5,openai/azure/Kimi-K2.5,0.0,1.0,0.7244897959183674,0.2755102040816326,0.7244897959183674,0.0,100,retail,71,6.618141599999998,1.1421780000000001,7.760319599999998,98
tool_calling,LiteLLM Tool Calling,12.48,0.04515212999999999,0.011782059999999999,0.0,0.0,0.64,12.33,tau2_retail,Tau Bench 2,0.6464646464646465,99,1,0,openai_Azure_Kimi-K2.5,openai/azure/Kimi-K2.5,0.01,0.99,0.64,0.35,0.64,0.0,100,retail,64,4.515212999999999,1.1782059999999999,5.693418999999999,100
claude_code,Claude Code CLI,0.0,0.005500535999999998,0.005097239999999994,0.0,,0.0,0.0,tau2_telecom,Tau Bench 2,0.0,100,0,0,openai_Azure_Kimi-K2.5,openai/azure/Kimi-K2.5,0.0,1.0,0.0,1.0,0.0,0.0,100,telecom,0,0.5500535999999998,0.5097239999999994,1.0597775999999992,100
openai_solo,OpenAI Solo,0.0,0.0046396319999999994,0.005097239999999994,0.0,,0.0,0.0,tau2_telecom,Tau Bench 2,0.0,100,0,0,openai_Azure_Kimi-K2.5,openai/azure/Kimi-K2.5,0.0,1.0,0.0,1.0,0.0,0.0,100,telecom,0,0.46396319999999996,0.5097239999999994,0.9736871999999994,100
smolagents_code,SmolAgents Code,19.141414141414142,0.15341341818181825,0.12497541414141404,0.0,0.0,0.7070707070707071,19.141414141414142,tau2_telecom,Tau Bench 2,0.7070707070707071,99,1,0,openai_Azure_Kimi-K2.5,openai/azure/Kimi-K2.5,0.0,1.0,0.7070707070707071,0.29292929292929293,0.7070707070707071,0.0,100,telecom,70,15.187928400000008,12.37256599999999,27.560494399999996,99
tool_calling,LiteLLM Tool Calling,17.15,0.092763078,0.11744177999999997,0.02,0.11661807580174927,0.83,16.14,tau2_telecom,Tau Bench 2,0.83,100,0,0,openai_Azure_Kimi-K2.5,openai/azure/Kimi-K2.5,0.0,1.0,0.83,0.17,0.83,0.0,100,telecom,83,9.2763078,11.744177999999996,21.020485799999996,100
tool_calling_with_shortlisting,LiteLLM Tool Calling (with shortlisting),34.19,0.1679167768,0.00164996,0.03,0.08774495466510676,0.36,34.19,browsecompplus,BrowseCompPlus,0.36363636363636365,99,1,0,openai_Azure_DeepSeek-V3.2,openai/azure/DeepSeek-V3.2,0.01,0.98,0.36,0.62,0.36,0.01,100,,36,16.79167768,0.164996,16.956673679999998,100
tool_calling_with_shortlisting,LiteLLM Tool Calling (with shortlisting),77.43,0.47889091680000007,0.0,0.01,0.012914890869172154,0.66,77.43,swebench,SWE-bench,0.6875,96,4,0,openai_Azure_DeepSeek-V3.2,openai/azure/DeepSeek-V3.2,0.04,0.94,0.93,0.01,0.93,0.02,100,,93,47.88909168000001,0.0,47.88909168000001,100
tool_calling_with_shortlisting,LiteLLM Tool Calling (with shortlisting),15.32,0.033952516,0.01718788,0.0,0.0,0.56,15.28,tau2_airline,Tau Bench 2,0.56,50,0,0,openai_Azure_DeepSeek-V3.2,openai/azure/DeepSeek-V3.2,0.0,1.0,0.56,0.44,0.56,0.0,50,airline,28,1.6976258,0.8593939999999999,2.5570198,50
tool_calling_with_shortlisting,LiteLLM Tool Calling (with shortlisting),14.44,0.029598555599999986,0.018759459999999995,0.0,0.0,0.82,14.44,tau2_retail,Tau Bench 2,0.82,100,0,0,openai_Azure_DeepSeek-V3.2,openai/azure/DeepSeek-V3.2,0.0,1.0,0.82,0.18,0.82,0.0,100,retail,82,2.9598555599999985,1.8759459999999997,4.835801559999998,100
tool_calling_with_shortlisting,LiteLLM Tool Calling (with shortlisting),18.13,0.04940463720000001,0.12771280000000004,0.0,0.0,0.71,18.11,tau2_telecom,Tau Bench 2,0.71,100,0,0,openai_Azure_DeepSeek-V3.2,openai/azure/DeepSeek-V3.2,0.0,1.0,0.71,0.29,0.71,0.0,100,telecom,71,4.940463720000001,12.771280000000004,17.711743720000005,100
tool_calling_with_shortlisting,LiteLLM Tool Calling (with shortlisting),27.26,0.3791127780000001,0.0012921600000000003,0.52,1.9075568598679384,0.34,26.27,browsecompplus,BrowseCompPlus,0.3469387755102041,98,2,0,openai_Azure_Kimi-K2.5,openai/azure/Kimi-K2.5,0.02,0.74,0.34,0.4,0.34,0.24,100,,34,37.91127780000001,0.12921600000000003,38.04049380000001,100
tool_calling_with_shortlisting,LiteLLM Tool Calling (with shortlisting),48.03,0.578300034,0.0,0.04,0.08328128253175099,0.56,48.03,swebench,SWE-bench,0.5714285714285714,98,2,0,openai_Azure_Kimi-K2.5,openai/azure/Kimi-K2.5,0.02,0.86,0.86,0.0,0.86,0.12,100,,86,57.830003399999995,0.0,57.830003399999995,100
tool_calling_with_shortlisting,LiteLLM Tool Calling (with shortlisting),10.76,0.03922161599999999,0.012552679999999998,0.0,0.0,0.62,9.6,tau2_airline,Tau Bench 2,0.62,50,0,0,openai_Azure_Kimi-K2.5,openai/azure/Kimi-K2.5,0.0,1.0,0.62,0.38,0.62,0.0,50,airline,31,1.9610807999999995,0.6276339999999999,2.5887147999999995,50
tool_calling_with_shortlisting,LiteLLM Tool Calling (with shortlisting),12.48,0.04515212999999999,0.011782059999999999,0.0,0.0,0.64,12.33,tau2_retail,Tau Bench 2,0.6464646464646465,99,1,0,openai_Azure_Kimi-K2.5,openai/azure/Kimi-K2.5,0.01,0.99,0.64,0.35,0.64,0.0,100,retail,64,4.515212999999999,1.1782059999999999,5.693418999999999,100
tool_calling_with_shortlisting,LiteLLM Tool Calling (with shortlisting),17.15,0.092763078,0.11744177999999997,0.02,0.11661807580174927,0.83,16.14,tau2_telecom,Tau Bench 2,0.83,100,0,0,openai_Azure_Kimi-K2.5,openai/azure/Kimi-K2.5,0.0,1.0,0.83,0.17,0.83,0.0,100,telecom,83,9.2763078,11.744177999999996,21.020485799999996,100
