agent,agent_name,average_action_count,average_agent_cost,average_benchmark_cost,average_invalid_action_count,average_invalid_action_percent,average_score,average_steps,benchmark,benchmark_name,benchmark_score,completed_sessions,incomplete_sessions,missing_sessions,model,model_name,percent_error,percent_finished,percent_finished_successful,percent_finished_unsuccessful,percent_successful,percent_unfinished,planned_sessions,subset_name,successful_sessions,total_agent_cost,total_benchmark_cost,total_run_cost,total_sessions
claude_code,Claude Code CLI,49.69,13.08379215,0,18.17,36.56671362,0.77417,49.69,appworld_test_normal,AppWorld,0.66,100,0,0,openai_aws_claude-opus-4-5,openai/aws/claude-opus-4-5,0,0.74,0.66,0.08,0.66,0.26,100,test_normal,66,1308.379215,0,1308.379215,100
claude_code,Claude Code CLI,0,0,0,0,,0,0,appworld_test_normal,AppWorld,0,0,100,0,openai_Azure_gpt-5.2-2025-12-11,openai/Azure/gpt-5.2-2025-12-11,1,0,0,0,0,0,100,test_normal,0,0,0,0,100
claude_code,Claude Code CLI,38.01,3.10550762,0,17.26,45.40910287,0.72641,38.01,appworld_test_normal,AppWorld,0.36,100,0,0,openai_gcp_gemini-3-pro-preview,openai/gcp/gemini-3-pro-preview,0,0.86,0.36,0.5,0.36,0.14,100,test_normal,36,310.550762,0,310.550762,100
openai_solo,OpenAI Solo,47.65,22.7647676,0,18.16,38.1112277,0.79381,47.65,appworld_test_normal,AppWorld,0.68,100,0,0,openai_aws_claude-opus-4-5,openai/aws/claude-opus-4-5,0,0.77,0.68,0.09,0.68,0.23,100,test_normal,68,2276.47676,0,2276.47676,100
openai_solo,OpenAI Solo,0,0,0,0,,0,0,appworld_test_normal,AppWorld,0,0,100,0,openai_Azure_gpt-5.2-2025-12-11,openai/Azure/gpt-5.2-2025-12-11,1,0,0,0,0,0,100,test_normal,0,0,0,0,100
openai_solo,OpenAI Solo,33.49,8.69552842,0,13.52,40.37025978,0.81766,33.49,appworld_test_normal,AppWorld,0.582,98,2,0,openai_gcp_gemini-3-pro-preview,openai/gcp/gemini-3-pro-preview,0.02,0.98,0.57,0.41,0.57,0,100,test_normal,57,869.552842,0,869.552842,100
smolagents_code,SmolAgents Code,41.07,5.5851091,0,4.8,11.68736304,0.82331,41.07,appworld_test_normal,AppWorld,0.7,100,0,0,openai_aws_claude-opus-4-5,openai/aws/claude-opus-4-5,0,0.82,0.7,0.12,0.7,0.18,100,test_normal,70,558.51091,0,558.51091,100
smolagents_code,SmolAgents Code,51.59,0.5503114225,0,39.05,75.69296375,0.40232,51.59,appworld_test_normal,AppWorld,0.071,98,2,0,openai_Azure_gpt-5.2-2025-12-11,openai/Azure/gpt-5.2-2025-12-11,0.02,0.61,0.07,0.54,0.07,0.37,100,test_normal,7,55.03114225,0,55.03114225,100
smolagents_code,SmolAgents Code,49.13,2.54254602,0,20.51,41.74638714,0.526,49.13,appworld_test_normal,AppWorld,0.13,100,0,0,openai_gcp_gemini-3-pro-preview,openai/gcp/gemini-3-pro-preview,0,0.71,0.13,0.58,0.13,0.29,100,test_normal,13,254.254602,0,254.254602,100
tool_calling,LiteLLM Tool Calling,55.7,11.32465995,0,0.06,0.1077199282,0.76528,21.99,appworld_test_normal,AppWorld,0.61,100,0,0,openai_aws_claude-opus-4-5,openai/aws/claude-opus-4-5,0,0.83,0.61,0.22,0.61,0.17,100,test_normal,61,1132.465995,0,1132.465995,100
tool_calling,LiteLLM Tool Calling,0,0,0,0,,0,0,appworld_test_normal,AppWorld,0,0,100,0,openai_Azure_gpt-5.2-2025-12-11,openai/Azure/gpt-5.2-2025-12-11,1,0,0,0,0,0,100,test_normal,0,0,0,0,100
tool_calling,LiteLLM Tool Calling,33.88,1.88187702,0,0.67,1.977567887,0.77415,21.76,appworld_test_normal,AppWorld,0.505,99,1,0,openai_gcp_gemini-3-pro-preview,openai/gcp/gemini-3-pro-preview,0.01,0.99,0.5,0.49,0.5,0,100,test_normal,50,188.187702,0,188.187702,100
tool_calling_with_shortlisting,LiteLLM Tool Calling with Shortlisting,42.45,3.43320175,0,0.06,0.1413427562,0.78206,20.06,appworld_test_normal,AppWorld,0.64,100,0,0,openai_aws_claude-opus-4-5,openai/aws/claude-opus-4-5,0,0.82,0.64,0.18,0.64,0.18,100,test_normal,64,343.320175,0,343.320175,100
tool_calling_with_shortlisting,LiteLLM Tool Calling with Shortlisting,20.01,0.3637131575,0,0.45,2.248875562,0.58473,10.05,appworld_test_normal,AppWorld,0.22,100,0,0,openai_Azure_gpt-5.2-2025-12-11,openai/Azure/gpt-5.2-2025-12-11,0,1,0.22,0.78,0.22,0,100,test_normal,22,36.37131575,0,36.37131575,100
